#   d (cM)	weighted LD	    bin count
     0.001	 0.00377157	     62076562
     0.002	 0.00354586	     69571357
     0.003	 0.00313034	     46451115
     0.004	 0.00310889	     42766661
     0.005	 0.00282931	    108227954
     0.006	 0.00336071	     54177794
     0.007	 0.00418778	    117485285
     0.008	 0.00303825	     54057307
     0.009	 0.00327615	     54087642
     0.010	 0.00274810	     31939146
     0.011	 0.00320927	     70125125
     0.012	 0.00238597	     23796232
     0.013	 0.00249421	     31719436
     0.014	 0.00237049	     21593246
     0.015	 0.00183361	    115595532
     0.016	 0.00223024	     20116060
     0.017	 0.00224565	     18941151
     0.018	 0.00218439	     20897396
     0.019	 0.00216681	     18347495
     0.020	 0.00216586	     18079601
     0.021	 0.00405839	     95689228
     0.022	 0.00346266	    377570534
     0.023	 0.00196581	     17949360
     0.024	 0.00194996	     16380518
     0.025	 0.00178986	     17306033
     0.026	 0.00188090	     16238856
     0.027	 0.00185710	     16298564
     0.028	 0.00185853	     15793881
     0.029	 0.00189416	     17286893
     0.030	 0.00169416	     15114495
     0.031	 0.00168188	     15220318
     0.032	 0.00196647	     20090761
     0.033	 0.00285061	     36134915
     0.034	 0.00161748	     15090924
     0.035	 0.00154190	     14363338
     0.036	 0.00199220	     15768485
     0.037	 0.00200941	     17944483
     0.038	 0.00157860	     14240464
     0.039	 0.00156550	     14335631
     0.040	 0.00148167	     14229983
     0.041	 0.00146315	     14094264
     0.042	 0.00147218	     14512910
     0.043	 0.00197516	     20314681
     0.044	 0.00137954	     14619019
     0.045	 0.00137820	     14322868
     0.046	 0.00138658	     13309746
     0.047	 0.00130473	     14871523
     0.048	 0.00131435	     14836670
     0.049	 0.00130944	     13548259
     0.050	 0.00135611	     13206916
     0.051	 0.00123277	     13716628
     0.052	 0.00128261	     13067419
     0.053	 0.00157548	     19973925
     0.054	 0.00135179	     14749331
     0.055	 0.00128697	     13517091
     0.056	 0.00113877	     21420825
     0.057	 0.00127871	     12884280
     0.058	 0.00121334	     12466761
     0.059	 0.00117115	     12513868
     0.060	 0.00115150	     14028136
