"time" "PopSize"
"1" 0 613285.292652
"2" 124.3456 14521.5863381
"3" 251.9216 13292.3044204
"4" 382.9 14309.5294311
"5" 517.4672 11374.9466799
"6" 655.8256 7539.54491307
"7" 798.1952 5660.55892359
"8" 944.816 4713.35718292
"9" 1095.944 4095.14663696
"10" 1251.88 3570.02606119
"11" 1412.92 3359.34022558
"12" 1579.424 3286.58170853
"13" 1751.776 3371.68626459
"14" 1930.392 3371.68626459
"15" 2115.744 3840.9464092
"16" 2308.376 3840.9464092
"17" 2508.864 4670.02207753
"18" 2717.896 4670.02207753
"19" 2936.216 5791.01668537
"20" 3164.696 5791.01668537
"21" 3404.32 7476.64948906
"22" 3656.24 7476.64948906
"23" 3921.792 9826.6094758
"24" 4202.512 9826.6094758
"25" 4500.264 12957.689903
"26" 4817.24 12957.689903
"27" 5156.096 16490.2212988
"28" 5520.064 16490.2212988
"29" 5913.192 20389.1264788
"30" 6340.536 20389.1264788
"31" 6808.64 24601.7590258
"32" 7326.112 24601.7590258
"33" 7904.592 28383.8921412
"34" 8560.4 28383.8921412
"35" 9317.52 29324.0082987
"36" 10212.96 29324.0082987
"37" 11308.88 25618.1991687
"38" 12721.84 25618.1991687
"39" 14713.2 191238.412147
"40" 18117.52 191238.412147
