#   d (cM)	weighted LD	    bin count
     0.001	 0.02101503	       287027
     0.002	 0.02084539	       253069
     0.003	 0.02020762	       235126
     0.004	 0.01953534	       220557
     0.005	 0.01939579	       208673
     0.006	 0.01887233	       200833
     0.007	 0.01859446	       192963
     0.008	 0.01851668	       187893
     0.009	 0.01807672	       183884
     0.010	 0.01810686	       179774
     0.011	 0.01744134	       174422
     0.012	 0.01715869	       170701
     0.013	 0.01675817	       167942
     0.014	 0.01657855	       166102
     0.015	 0.01636022	       163048
     0.016	 0.01612122	       160901
     0.017	 0.01602074	       158718
     0.018	 0.01554544	       157118
     0.019	 0.01557131	       155588
     0.020	 0.01538119	       154231
     0.021	 0.01514053	       153109
     0.022	 0.01477390	       150587
     0.023	 0.01455293	       149232
     0.024	 0.01447101	       148201
     0.025	 0.01439513	       147783
     0.026	 0.01442362	       145826
     0.027	 0.01407459	       145642
     0.028	 0.01401338	       145073
     0.029	 0.01370033	       142921
     0.030	 0.01318182	       141707
     0.031	 0.01336971	       141225
     0.032	 0.01301826	       140342
     0.033	 0.01294157	       138551
     0.034	 0.01283844	       137615
     0.035	 0.01265765	       137493
     0.036	 0.01231793	       137126
     0.037	 0.01234774	       136522
     0.038	 0.01190303	       136723
     0.039	 0.01198267	       135184
     0.040	 0.01205810	       134720
     0.041	 0.01175031	       134344
     0.042	 0.01139457	       132487
     0.043	 0.01146773	       132400
     0.044	 0.01132987	       132467
     0.045	 0.01117128	       133047
     0.046	 0.01079513	       132263
     0.047	 0.01087271	       131611
     0.048	 0.01062277	       130929
     0.049	 0.01046736	       129860
     0.050	 0.01050006	       129557
     0.051	 0.01064846	       129407
     0.052	 0.01027241	       128821
     0.053	 0.01024264	       129152
     0.054	 0.01008799	       128962
     0.055	 0.00981918	       127404
     0.056	 0.00984120	       127586
     0.057	 0.00978276	       127628
     0.058	 0.00959212	       127958
     0.059	 0.00935991	       127035
     0.060	 0.00950556	       126601
     0.061	 0.00934698	       126659
     0.062	 0.00908025	       126263
     0.063	 0.00907322	       125363
     0.064	 0.00917862	       125664
     0.065	 0.00892849	       125785
     0.066	 0.00888092	       125646
     0.067	 0.00884296	       125124
     0.068	 0.00881743	       125438
     0.069	 0.00867441	       125294
     0.070	 0.00840168	       124684
     0.071	 0.00854913	       124583
     0.072	 0.00841915	       124542
     0.073	 0.00844952	       124109
     0.074	 0.00831151	       123925
     0.075	 0.00837111	       124273
     0.076	 0.00824666	       123759
     0.077	 0.00815863	       123679
     0.078	 0.00795664	       124591
     0.079	 0.00803046	       123658
     0.080	 0.00789674	       123254
     0.081	 0.00798531	       123312
     0.082	 0.00776912	       123308
     0.083	 0.00754227	       123136
     0.084	 0.00749578	       122672
     0.085	 0.00755191	       122651
     0.086	 0.00742402	       122905
     0.087	 0.00739679	       122383
     0.088	 0.00743385	       122479
     0.089	 0.00721612	       122028
     0.090	 0.00729593	       121675
     0.091	 0.00689149	       121624
     0.092	 0.00694745	       121118
     0.093	 0.00689948	       120425
     0.094	 0.00704228	       120302
     0.095	 0.00678344	       120658
     0.096	 0.00686353	       119431
     0.097	 0.00662606	       120349
     0.098	 0.00680581	       121082
     0.099	 0.00657319	       120510
     0.100	 0.00644221	       119425
     0.101	 0.00645814	       119642
     0.102	 0.00642439	       119632
     0.103	 0.00623957	       119765
     0.104	 0.00634475	       119246
     0.105	 0.00630106	       118837
     0.106	 0.00608112	       118959
     0.107	 0.00614413	       118336
     0.108	 0.00626622	       118849
     0.109	 0.00618153	       118564
     0.110	 0.00589720	       118679
     0.111	 0.00584097	       117991
     0.112	 0.00580461	       119525
     0.113	 0.00587990	       117906
     0.114	 0.00593717	       118399
     0.115	 0.00576009	       118701
     0.116	 0.00587567	       118088
     0.117	 0.00578293	       117455
     0.118	 0.00578293	       117538
     0.119	 0.00570242	       117269
     0.120	 0.00570127	       117419
     0.121	 0.00561680	       116619
     0.122	 0.00577385	       117450
     0.123	 0.00554319	       116620
     0.124	 0.00543058	       116483
     0.125	 0.00545908	       115643
     0.126	 0.00542140	       116408
     0.127	 0.00534991	       115977
     0.128	 0.00543397	       115882
     0.129	 0.00529315	       116237
     0.130	 0.00535263	       115988
     0.131	 0.00543698	       116421
     0.132	 0.00527039	       116178
     0.133	 0.00514638	       116237
     0.134	 0.00523284	       116074
     0.135	 0.00512228	       115601
     0.136	 0.00496505	       116028
     0.137	 0.00506506	       115675
     0.138	 0.00494246	       115691
     0.139	 0.00508282	       116196
     0.140	 0.00474068	       115658
     0.141	 0.00497121	       114951
     0.142	 0.00491055	       115016
