#   d (cM)	weighted LD	    bin count
     0.001	 0.02685264	       242442
     0.002	 0.02243688	       277740
     0.003	 0.02208957	       291509
     0.004	 0.01979659	       290906
     0.005	 0.01922334	       268329
     0.006	 0.01966541	       268019
     0.007	 0.01729150	       262822
     0.008	 0.01920344	       244956
     0.009	 0.01807115	       238210
     0.010	 0.01749308	       237772
     0.011	 0.01769011	       221372
     0.012	 0.01629066	       215350
     0.013	 0.01785191	       214205
     0.014	 0.01665196	       200549
     0.015	 0.01615439	       198874
     0.016	 0.01481257	       194785
     0.017	 0.01630908	       188791
     0.018	 0.01599487	       182627
     0.019	 0.01469688	       181479
     0.020	 0.01518811	       179323
     0.021	 0.01806095	       176987
     0.022	 0.01353890	       168527
     0.023	 0.01224935	       167790
     0.024	 0.01369322	       170583
     0.025	 0.01184120	       170972
     0.026	 0.01238980	       158283
     0.027	 0.01273018	       160012
     0.028	 0.01248407	       159371
     0.029	 0.01179304	       157335
     0.030	 0.01412159	       159246
     0.031	 0.01362627	       150992
     0.032	 0.01310306	       153440
     0.033	 0.01218661	       150879
     0.034	 0.01136469	       150471
     0.035	 0.01061272	       144955
     0.036	 0.01192139	       149685
     0.037	 0.01075734	       143086
     0.038	 0.01219206	       149461
     0.039	 0.01204960	       139565
     0.040	 0.01043873	       142327
     0.041	 0.01093250	       143683
     0.042	 0.01034603	       151475
     0.043	 0.01025157	       143122
     0.044	 0.00964951	       138273
     0.045	 0.01104912	       135966
     0.046	 0.00915344	       134955
     0.047	 0.00950597	       140787
     0.048	 0.00889474	       133822
     0.049	 0.00941602	       137077
     0.050	 0.00850460	       133925
     0.051	 0.00861020	       135337
     0.052	 0.00923254	       128403
     0.053	 0.00753815	       140693
     0.054	 0.00770775	       130309
     0.055	 0.00690706	       136163
     0.056	 0.00756599	       129646
     0.057	 0.00754600	       126638
     0.058	 0.00757073	       130401
     0.059	 0.00694945	       130887
     0.060	 0.00714480	       127990
     0.061	 0.00655291	       129128
     0.062	 0.00654759	       130370
     0.063	 0.00701290	       125449
     0.064	 0.00697356	       126035
     0.065	 0.00643674	       122684
     0.066	 0.00678934	       122250
     0.067	 0.00647145	       123431
     0.068	 0.00617001	       126286
     0.069	 0.00626125	       127332
     0.070	 0.00575059	       127433
     0.071	 0.00644307	       123439
     0.072	 0.00661026	       124359
     0.073	 0.00662065	       122688
     0.074	 0.00604992	       121651
     0.075	 0.00566582	       125644
     0.076	 0.00489828	       122857
     0.077	 0.00616919	       119157
     0.078	 0.00486903	       122188
     0.079	 0.00649707	       122339
     0.080	 0.00529093	       118746
     0.081	 0.00516488	       118712
     0.082	 0.00540126	       124317
     0.083	 0.00482778	       117721
     0.084	 0.00498918	       113896
     0.085	 0.00499082	       117764
     0.086	 0.00439980	       121337
     0.087	 0.00451431	       122204
     0.088	 0.00456049	       116331
     0.089	 0.00412084	       120614
     0.090	 0.00388973	       117329
     0.091	 0.00360392	       117401
     0.092	 0.00440122	       115912
     0.093	 0.00379432	       122131
     0.094	 0.00373395	       117563
     0.095	 0.00388568	       117210
     0.096	 0.00359143	       114613
     0.097	 0.00378449	       121513
     0.098	 0.00379618	       118432
     0.099	 0.00358172	       115820
     0.100	 0.00401191	       114206
     0.101	 0.00383098	       116684
     0.102	 0.00369755	       113329
     0.103	 0.00361701	       115583
     0.104	 0.00343009	       110793
     0.105	 0.00361290	       114629
     0.106	 0.00333447	       113928
     0.107	 0.00363605	       113331
     0.108	 0.00307815	       113451
     0.109	 0.00385016	       116245
     0.110	 0.00270050	       115422
     0.111	 0.00310355	       116431
     0.112	 0.00342068	       111476
