#   d (cM)	weighted LD	    bin count
     0.001	 0.02677010	       410611
     0.002	 0.02280838	       433055
     0.003	 0.02037565	       461180
     0.004	 0.01728711	       443230
     0.005	 0.01816435	       407214
     0.006	 0.01782466	       397839
     0.007	 0.01418027	       399566
     0.008	 0.01767527	       356911
     0.009	 0.01627229	       348492
     0.010	 0.01483875	       349391
     0.011	 0.01631456	       324225
     0.012	 0.01369232	       317304
     0.013	 0.01536829	       302343
     0.014	 0.01452511	       296019
     0.015	 0.01342592	       296773
     0.016	 0.01371265	       276270
     0.017	 0.01389754	       264940
     0.018	 0.01253509	       257321
     0.019	 0.01228461	       257299
     0.020	 0.01276314	       259426
     0.021	 0.01616566	       253959
     0.022	 0.01114984	       237710
     0.023	 0.01056551	       236979
     0.024	 0.01185892	       240889
     0.025	 0.01036410	       236446
     0.026	 0.01002902	       229841
     0.027	 0.01114499	       223468
     0.028	 0.01147016	       221220
     0.029	 0.01032302	       222717
     0.030	 0.01529893	       225750
     0.031	 0.01238310	       209730
     0.032	 0.01382092	       222966
     0.033	 0.01205779	       213185
     0.034	 0.01001387	       212800
     0.035	 0.00907255	       206847
     0.036	 0.01068414	       209441
     0.037	 0.00992253	       202169
     0.038	 0.01163352	       206667
     0.039	 0.01144837	       201065
     0.040	 0.00945958	       194807
     0.041	 0.01028309	       201563
     0.042	 0.00897173	       219044
     0.043	 0.00988547	       200331
     0.044	 0.00843970	       199101
     0.045	 0.01118869	       192214
     0.046	 0.00827610	       188293
     0.047	 0.00908007	       201510
     0.048	 0.00799562	       183784
     0.049	 0.00863288	       192774
     0.050	 0.00757637	       190368
     0.051	 0.00770691	       185039
     0.052	 0.00766016	       187145
     0.053	 0.00726033	       194176
     0.054	 0.00666026	       181203
     0.055	 0.00640401	       188109
     0.056	 0.00636340	       177217
     0.057	 0.00683619	       177723
     0.058	 0.00684663	       180185
     0.059	 0.00609545	       178059
     0.060	 0.00615019	       179891
     0.061	 0.00590956	       175327
     0.062	 0.00600044	       176158
     0.063	 0.00663693	       171953
     0.064	 0.00624995	       178085
     0.065	 0.00525292	       169568
     0.066	 0.00621293	       169107
     0.067	 0.00585002	       174321
     0.068	 0.00538787	       177498
     0.069	 0.00599145	       173601
     0.070	 0.00510391	       175734
     0.071	 0.00567385	       176923
     0.072	 0.00563473	       166742
     0.073	 0.00629685	       174873
     0.074	 0.00518211	       171112
     0.075	 0.00529139	       173954
     0.076	 0.00419531	       169776
     0.077	 0.00533746	       166149
     0.078	 0.00418875	       165798
     0.079	 0.00562775	       168192
     0.080	 0.00461448	       165484
     0.081	 0.00474011	       164799
     0.082	 0.00538290	       170884
     0.083	 0.00435312	       160823
     0.084	 0.00476543	       159528
     0.085	 0.00427826	       166886
     0.086	 0.00388569	       170621
     0.087	 0.00430938	       164844
     0.088	 0.00426247	       165305
     0.089	 0.00379257	       163740
     0.090	 0.00357124	       163883
     0.091	 0.00320822	       173592
     0.092	 0.00409899	       165557
     0.093	 0.00323226	       168697
     0.094	 0.00340009	       169841
     0.095	 0.00327762	       163025
     0.096	 0.00362920	       158523
     0.097	 0.00316257	       170363
     0.098	 0.00339326	       165559
     0.099	 0.00320062	       161008
     0.100	 0.00378752	       158907
     0.101	 0.00321095	       159951
     0.102	 0.00330801	       156852
     0.103	 0.00351534	       159625
     0.104	 0.00291713	       156841
     0.105	 0.00302697	       158436
     0.106	 0.00285955	       164684
     0.107	 0.00310055	       156745
     0.108	 0.00341806	       157906
     0.109	 0.00384314	       164557
     0.110	 0.00238955	       156910
     0.111	 0.00276755	       161667
     0.112	 0.00316648	       155672
     0.113	 0.00242902	       153987
     0.114	 0.00287113	       163050
     0.115	 0.00237077	       154563
     0.116	 0.00258206	       163038
     0.117	 0.00253118	       157149
     0.118	 0.00239864	       165876
     0.119	 0.00201576	       156883
     0.120	 0.00237708	       157494
     0.121	 0.00268857	       146249
     0.122	 0.00205998	       155199
     0.123	 0.00230536	       162872
     0.124	 0.00229831	       155426
     0.125	 0.00182671	       162656
     0.126	 0.00162778	       155649
     0.127	 0.00184108	       159638
     0.128	 0.00186836	       149240
     0.129	 0.00167537	       160333
     0.130	 0.00189387	       153915
     0.131	 0.00170177	       162448
     0.132	 0.00256457	       162501
     0.133	 0.00226168	       156865
     0.134	 0.00212341	       156251
     0.135	 0.00247134	       154067
     0.136	 0.00184598	       158663
     0.137	 0.00159792	       162651
     0.138	 0.00174845	       159376
     0.139	 0.00167809	       156732
     0.140	 0.00132013	       165184
     0.141	 0.00188159	       154991
     0.142	 0.00175533	       158686
     0.143	 0.00157328	       159076
     0.144	 0.00152359	       165983
     0.145	 0.00152830	       155964
     0.146	 0.00163375	       162594
     0.147	 0.00143850	       162067
     0.148	 0.00160677	       155613
     0.149	 0.00149558	       156146
     0.150	 0.00121325	       159755
     0.151	 0.00141271	       155096
     0.152	 0.00116922	       151430
     0.153	 0.00126669	       157861
     0.154	 0.00133926	       160807
     0.155	 0.00134126	       159644
     0.156	 0.00124133	       157588
     0.157	 0.00118309	       158330
     0.158	 0.00125524	       150336
     0.159	 0.00067119	       172865
     0.160	 0.00089848	       162465
     0.161	 0.00113068	       161589
     0.162	 0.00122217	       162357
     0.163	 0.00090808	       161510
     0.164	 0.00094698	       155368
     0.165	 0.00121103	       163071
     0.166	 0.00098843	       160652
     0.167	 0.00107911	       159222
     0.168	 0.00140698	       154952
     0.169	 0.00125210	       161000
     0.170	 0.00110907	       159305
     0.171	 0.00154387	       161221
     0.172	 0.00108744	       154951
     0.173	 0.00112036	       154782
     0.174	 0.00085779	       150315
     0.175	 0.00106674	       152395
     0.176	 0.00088347	       157186
     0.177	 0.00107888	       158365
     0.178	 0.00108581	       153413
     0.179	 0.00084786	       154514
     0.180	 0.00084527	       151851
     0.181	 0.00085168	       146952
     0.182	 0.00089096	       155967
     0.183	 0.00112478	       153206
     0.184	 0.00112642	       152490
     0.185	 0.00079965	       151851
     0.186	 0.00092862	       154434
     0.187	 0.00098411	       152282
     0.188	 0.00061563	       157583
     0.189	 0.00104790	       147209
     0.190	 0.00085914	       151490
     0.191	 0.00063010	       153779
     0.192	 0.00089824	       151171
     0.193	 0.00076775	       144486
     0.194	 0.00074736	       153181
     0.195	 0.00059156	       147151
     0.196	 0.00064152	       150618
     0.197	 0.00068888	       153570
     0.198	 0.00108083	       155845
     0.199	 0.00079481	       148144
     0.200	 0.00062500	       143654
     0.201	 0.00058341	       153311
     0.202	 0.00080572	       150682
     0.203	 0.00080244	       161463
     0.204	 0.00091669	       159154
     0.205	 0.00057048	       153794
     0.206	 0.00079217	       144933
     0.207	 0.00104217	       154727
     0.208	 0.00084252	       144186
     0.209	 0.00079599	       146205
     0.210	 0.00096468	       148148
     0.211	 0.00096558	       143572
     0.212	 0.00060031	       145867
     0.213	 0.00098975	       147520
     0.214	 0.00068838	       151469
     0.215	 0.00065767	       152591
     0.216	 0.00051284	       148595
     0.217	 0.00050387	       146985
     0.218	 0.00032217	       149986
     0.219	 0.00059434	       151421
     0.220	 0.00043549	       149328
     0.221	 0.00053058	       149577
     0.222	 0.00059787	       156428
     0.223	 0.00039087	       150183
     0.224	 0.00082476	       149681
     0.225	 0.00045777	       150867
     0.226	 0.00039701	       151685
     0.227	 0.00037186	       151301
     0.228	 0.00034979	       153602
     0.229	 0.00050351	       148962
     0.230	 0.00056246	       146635
     0.231	 0.00044000	       149914
     0.232	 0.00054222	       146600
     0.233	 0.00048522	       148855
     0.234	 0.00042575	       147738
     0.235	 0.00045879	       140471
     0.236	 0.00068491	       149747
     0.237	 0.00049823	       153064
     0.238	 0.00041765	       150015
     0.239	 0.00046497	       142021
     0.240	 0.00060152	       149243
     0.241	 0.00041197	       149612
     0.242	 0.00042031	       148654
     0.243	 0.00046825	       140589
     0.244	 0.00045717	       148630
     0.245	 0.00044322	       150349
     0.246	 0.00084600	       153946
     0.247	 0.00037966	       147583
     0.248	 0.00049907	       152800
     0.249	 0.00037470	       147796
     0.250	 0.00065776	       162072
     0.251	 0.00060077	       152700
     0.252	 0.00060587	       157621
     0.253	 0.00049000	       147424
     0.254	 0.00091502	       151065
     0.255	 0.00068296	       153176
     0.256	 0.00049958	       146451
     0.257	 0.00049454	       153953
     0.258	 0.00045663	       150298
     0.259	 0.00058457	       149679
     0.260	 0.00085610	       148530
     0.261	 0.00053044	       154280
     0.262	 0.00099723	       153654
     0.263	 0.00034466	       152263
     0.264	 0.00056240	       147839
     0.265	 0.00055697	       158562
     0.266	 0.00074194	       155851
     0.267	 0.00072997	       166682
     0.268	 0.00042191	       160810
     0.269	 0.00055126	       154802
     0.270	 0.00045160	       151879
     0.271	 0.00027402	       156285
     0.272	 0.00044299	       153968
