#   d (cM)	weighted LD	    bin count
     0.001	 0.00165116	      4395954
     0.002	 0.00132095	      4327030
     0.003	 0.00109773	      4281602
     0.004	 0.00094958	      4243973
     0.005	 0.00084164	      4218987
     0.006	 0.00076520	      4197796
     0.007	 0.00069363	      4180682
     0.008	 0.00065131	      4166053
     0.009	 0.00060561	      4149485
     0.010	 0.00057053	      4139651
     0.011	 0.00053359	      4129097
     0.012	 0.00050555	      4117383
     0.013	 0.00049135	      4115493
     0.014	 0.00047081	      4106036
     0.015	 0.00045564	      4102224
     0.016	 0.00043807	      4088777
     0.017	 0.00042685	      4088066
     0.018	 0.00040740	      4086448
     0.019	 0.00039745	      4083511
     0.020	 0.00038759	      4077363
     0.021	 0.00037460	      4072434
     0.022	 0.00036116	      4071039
     0.023	 0.00035711	      4064850
     0.024	 0.00034916	      4061581
     0.025	 0.00033953	      4059775
     0.026	 0.00033112	      4057388
     0.027	 0.00032258	      4053590
     0.028	 0.00031638	      4051576
     0.029	 0.00030484	      4048634
     0.030	 0.00030006	      4050601
     0.031	 0.00029876	      4044499
     0.032	 0.00028967	      4045931
     0.033	 0.00028744	      4042949
     0.034	 0.00028114	      4041854
     0.035	 0.00027669	      4040809
     0.036	 0.00027266	      4043233
     0.037	 0.00026928	      4038955
     0.038	 0.00026291	      4031535
     0.039	 0.00025467	      4032794
     0.040	 0.00025439	      4033532
     0.041	 0.00024645	      4035218
     0.042	 0.00024568	      4031407
     0.043	 0.00024535	      4035667
     0.044	 0.00023671	      4026432
     0.045	 0.00023102	      4028324
     0.046	 0.00022703	      4030661
     0.047	 0.00022543	      4024828
     0.048	 0.00022185	      4028298
     0.049	 0.00021660	      4023763
     0.050	 0.00021557	      4021437
     0.051	 0.00021293	      4026440
     0.052	 0.00020948	      4018806
     0.053	 0.00020707	      4021947
     0.054	 0.00020283	      4023025
     0.055	 0.00020000	      4019262
     0.056	 0.00019571	      4020584
     0.057	 0.00019232	      4020399
     0.058	 0.00019193	      4017299
     0.059	 0.00018856	      4018510
     0.060	 0.00018656	      4014393
     0.061	 0.00018503	      4019056
     0.062	 0.00017875	      4014641
     0.063	 0.00017719	      4011855
     0.064	 0.00017338	      4017386
     0.065	 0.00016862	      4015775
     0.066	 0.00016661	      4012593
     0.067	 0.00016410	      4010258
     0.068	 0.00016265	      4014025
     0.069	 0.00015848	      4011364
     0.070	 0.00015735	      4009885
     0.071	 0.00015496	      4011880
     0.072	 0.00015266	      4011862
     0.073	 0.00015099	      4009577
     0.074	 0.00014761	      4010973
     0.075	 0.00014445	      4008707
     0.076	 0.00014079	      4008576
     0.077	 0.00014039	      4012929
     0.078	 0.00013767	      4012832
     0.079	 0.00013751	      4005707
     0.080	 0.00013359	      4009292
     0.081	 0.00013268	      4008459
     0.082	 0.00013276	      4011111
     0.083	 0.00012917	      4009534
     0.084	 0.00012717	      4009755
     0.085	 0.00012526	      4009835
     0.086	 0.00012292	      4011948
     0.087	 0.00012194	      4007618
     0.088	 0.00012071	      4007521
     0.089	 0.00011754	      4008430
     0.090	 0.00011580	      4006920
     0.091	 0.00011532	      4006243
     0.092	 0.00011321	      4004149
     0.093	 0.00011195	      4006224
     0.094	 0.00010788	      4003482
     0.095	 0.00010843	      4002723
     0.096	 0.00010543	      4003208
     0.097	 0.00010339	      4003290
     0.098	 0.00010560	      4000102
     0.099	 0.00010164	      4000722
     0.100	 0.00010033	      3999148
     0.101	 0.00009705	      4000427
     0.102	 0.00009755	      4001178
     0.103	 0.00009556	      4003575
     0.104	 0.00009303	      4002303
     0.105	 0.00009336	      4004750
     0.106	 0.00009134	      4004434
     0.107	 0.00009145	      4001264
     0.108	 0.00009067	      4000604
     0.109	 0.00008731	      3999795
     0.110	 0.00008611	      4000905
     0.111	 0.00008360	      4003287
     0.112	 0.00008291	      4004767
     0.113	 0.00008233	      4002489
     0.114	 0.00008099	      4001458
     0.115	 0.00008029	      4000625
     0.116	 0.00007943	      4000092
     0.117	 0.00007826	      4000918
     0.118	 0.00007608	      3998931
     0.119	 0.00007554	      3999006
     0.120	 0.00007285	      3999653
     0.121	 0.00007213	      3999880
     0.122	 0.00007324	      3998608
     0.123	 0.00007060	      3999009
     0.124	 0.00006879	      3997961
     0.125	 0.00006843	      4001736
     0.126	 0.00006767	      3999036
     0.127	 0.00006588	      3994748
     0.128	 0.00006379	      3997796
     0.129	 0.00006179	      3999633
     0.130	 0.00006292	      3995503
     0.131	 0.00006448	      3995600
     0.132	 0.00006372	      3996499
     0.133	 0.00006040	      3998487
     0.134	 0.00005943	      3990795
     0.135	 0.00005854	      3998451
     0.136	 0.00005779	      3998569
     0.137	 0.00005630	      4000944
     0.138	 0.00005550	      3995599
     0.139	 0.00005530	      3996910
     0.140	 0.00005420	      3992136
     0.141	 0.00005462	      3991301
     0.142	 0.00005184	      3990189
     0.143	 0.00005082	      3993534
     0.144	 0.00005069	      3987468
     0.145	 0.00004904	      3993842
     0.146	 0.00004833	      3993939
     0.147	 0.00004781	      3992557
     0.148	 0.00004722	      3991532
     0.149	 0.00004770	      3995851
     0.150	 0.00004645	      3989790
     0.151	 0.00004637	      3994595
     0.152	 0.00004620	      3994045
     0.153	 0.00004522	      3994628
     0.154	 0.00004345	      3996099
     0.155	 0.00004330	      3992186
     0.156	 0.00004177	      3990352
     0.157	 0.00004106	      3992008
     0.158	 0.00004200	      3993084
     0.159	 0.00004091	      3993615
     0.160	 0.00004001	      3991718
     0.161	 0.00003877	      3996454
     0.162	 0.00003703	      3993097
     0.163	 0.00003807	      3990964
     0.164	 0.00003690	      3995164
     0.165	 0.00003760	      3990457
     0.166	 0.00003494	      3993024
     0.167	 0.00003563	      3994032
     0.168	 0.00003489	      3994098
     0.169	 0.00003556	      3987707
     0.170	 0.00003483	      3995863
     0.171	 0.00003382	      3991867
     0.172	 0.00003366	      3991247
     0.173	 0.00003317	      3991839
     0.174	 0.00003265	      3991423
     0.175	 0.00003210	      3993541
     0.176	 0.00003232	      3993538
     0.177	 0.00003110	      3991374
     0.178	 0.00003043	      3995392
     0.179	 0.00003013	      3996457
     0.180	 0.00002953	      3993461
     0.181	 0.00002927	      3989898
     0.182	 0.00002906	      3994317
     0.183	 0.00002873	      3992879
     0.184	 0.00002832	      3992234
     0.185	 0.00002671	      3991156
     0.186	 0.00002726	      3989573
     0.187	 0.00002711	      3990906
     0.188	 0.00002780	      3990726
     0.189	 0.00002771	      3994746
     0.190	 0.00002550	      3991248
     0.191	 0.00002550	      3991833
     0.192	 0.00002485	      3992663
     0.193	 0.00002522	      3992246
     0.194	 0.00002437	      3993348
     0.195	 0.00002432	      3987003
     0.196	 0.00002336	      3988931
     0.197	 0.00002301	      3986522
     0.198	 0.00002295	      3991930
     0.199	 0.00002129	      3990027
     0.200	 0.00002135	      3989081
     0.201	 0.00002045	      3991427
     0.202	 0.00002144	      3988124
     0.203	 0.00002119	      3993717
     0.204	 0.00002118	      3988516
     0.205	 0.00002059	      3992418
     0.206	 0.00002048	      3991363
     0.207	 0.00001865	      3992323
     0.208	 0.00001955	      3991790
     0.209	 0.00001918	      3993035
     0.210	 0.00001895	      3988780
     0.211	 0.00001967	      3989824
     0.212	 0.00001911	      3983706
     0.213	 0.00001744	      3988827
     0.214	 0.00001770	      3990051
     0.215	 0.00001777	      3992976
     0.216	 0.00001681	      3989292
     0.217	 0.00001688	      3987464
     0.218	 0.00001789	      3987393
     0.219	 0.00001767	      3989338
     0.220	 0.00001685	      3988925
     0.221	 0.00001615	      3988516
     0.222	 0.00001659	      3988181
     0.223	 0.00001632	      3988544
     0.224	 0.00001633	      3987355
     0.225	 0.00001607	      3983629
     0.226	 0.00001512	      3984541
     0.227	 0.00001513	      3991853
     0.228	 0.00001539	      3987814
     0.229	 0.00001473	      3988470
     0.230	 0.00001484	      3989645
     0.231	 0.00001520	      3985059
     0.232	 0.00001501	      3990494
     0.233	 0.00001416	      3987566
     0.234	 0.00001401	      3989541
     0.235	 0.00001393	      3992779
     0.236	 0.00001369	      3991008
     0.237	 0.00001270	      3988529
     0.238	 0.00001262	      3989091
     0.239	 0.00001261	      3990351
