#   d (cM)	weighted LD	    bin count
     0.001	 0.00160033	      4372706
     0.002	 0.00129099	      4313235
     0.003	 0.00108375	      4263202
     0.004	 0.00093173	      4227056
     0.005	 0.00081617	      4202504
     0.006	 0.00074193	      4178452
     0.007	 0.00067526	      4159468
     0.008	 0.00062370	      4145803
     0.009	 0.00058350	      4132746
     0.010	 0.00054756	      4123845
     0.011	 0.00052078	      4107996
     0.012	 0.00049432	      4097910
     0.013	 0.00047594	      4096300
     0.014	 0.00045381	      4088886
     0.015	 0.00044174	      4077339
     0.016	 0.00042600	      4073527
     0.017	 0.00041042	      4069262
     0.018	 0.00039813	      4066161
     0.019	 0.00038871	      4064707
     0.020	 0.00037738	      4057204
     0.021	 0.00036739	      4051115
     0.022	 0.00035995	      4049030
     0.023	 0.00034628	      4046560
     0.024	 0.00033956	      4044761
     0.025	 0.00033146	      4039016
     0.026	 0.00032213	      4040258
     0.027	 0.00031632	      4039593
     0.028	 0.00030981	      4034954
     0.029	 0.00030257	      4032508
     0.030	 0.00029763	      4031095
     0.031	 0.00029237	      4025317
     0.032	 0.00028957	      4027261
     0.033	 0.00028408	      4022606
     0.034	 0.00027623	      4027729
     0.035	 0.00026652	      4024222
     0.036	 0.00026435	      4020769
     0.037	 0.00026117	      4019169
     0.038	 0.00025206	      4018554
     0.039	 0.00025148	      4017245
     0.040	 0.00024730	      4016122
     0.041	 0.00024244	      4017966
     0.042	 0.00023666	      4013416
     0.043	 0.00023392	      4011670
     0.044	 0.00022946	      4013421
     0.045	 0.00022456	      4010140
     0.046	 0.00022441	      4010368
     0.047	 0.00021537	      4013149
     0.048	 0.00021457	      4007485
     0.049	 0.00020911	      4007485
     0.050	 0.00020547	      4002132
     0.051	 0.00020432	      4006966
     0.052	 0.00020146	      4006873
     0.053	 0.00019736	      4002814
     0.054	 0.00019353	      3998537
     0.055	 0.00018975	      4002315
     0.056	 0.00018730	      4002557
     0.057	 0.00018438	      4003819
     0.058	 0.00018243	      4000526
     0.059	 0.00017531	      3996904
     0.060	 0.00017421	      3998731
     0.061	 0.00016950	      3996327
     0.062	 0.00016723	      3994508
     0.063	 0.00016689	      3996081
     0.064	 0.00016490	      3995219
     0.065	 0.00016130	      3996513
     0.066	 0.00015817	      3996014
     0.067	 0.00015513	      3994799
     0.068	 0.00015218	      3996403
     0.069	 0.00015009	      4000478
     0.070	 0.00015078	      3993600
     0.071	 0.00014736	      3990759
     0.072	 0.00014524	      3994040
     0.073	 0.00014386	      3990287
     0.074	 0.00013922	      3991881
     0.075	 0.00013821	      3992635
     0.076	 0.00013695	      3992399
     0.077	 0.00013374	      3991607
     0.078	 0.00013182	      3994468
     0.079	 0.00012868	      3988612
     0.080	 0.00012851	      3991633
     0.081	 0.00012878	      3992580
     0.082	 0.00012615	      3987613
     0.083	 0.00012572	      3988047
     0.084	 0.00011998	      3992455
     0.085	 0.00011935	      3988730
     0.086	 0.00011742	      3985828
     0.087	 0.00011689	      3990500
     0.088	 0.00011432	      3987522
     0.089	 0.00011226	      3989261
     0.090	 0.00011041	      3987941
     0.091	 0.00010768	      3987227
     0.092	 0.00010659	      3991741
     0.093	 0.00010520	      3989062
     0.094	 0.00010273	      3987669
     0.095	 0.00010043	      3985409
     0.096	 0.00009989	      3987018
     0.097	 0.00009665	      3985701
     0.098	 0.00009559	      3984827
     0.099	 0.00009435	      3987949
     0.100	 0.00009219	      3988593
     0.101	 0.00009262	      3982646
     0.102	 0.00009155	      3985789
     0.103	 0.00008994	      3985126
     0.104	 0.00008985	      3983921
     0.105	 0.00008778	      3985941
     0.106	 0.00008585	      3981274
     0.107	 0.00008452	      3982936
     0.108	 0.00008357	      3982290
     0.109	 0.00008099	      3982665
     0.110	 0.00008107	      3981909
     0.111	 0.00008044	      3984440
     0.112	 0.00007908	      3984678
     0.113	 0.00007866	      3984309
     0.114	 0.00007673	      3980554
     0.115	 0.00007657	      3983297
     0.116	 0.00007534	      3987105
     0.117	 0.00007412	      3983941
     0.118	 0.00007284	      3983623
     0.119	 0.00007408	      3984728
     0.120	 0.00007074	      3982579
     0.121	 0.00007034	      3981866
     0.122	 0.00006737	      3982310
     0.123	 0.00006744	      3979151
     0.124	 0.00006667	      3982133
     0.125	 0.00006440	      3980390
     0.126	 0.00006329	      3981640
     0.127	 0.00006269	      3982784
     0.128	 0.00006140	      3980610
     0.129	 0.00006041	      3980433
     0.130	 0.00005741	      3980020
     0.131	 0.00005844	      3978064
     0.132	 0.00005661	      3978507
     0.133	 0.00005562	      3981571
     0.134	 0.00005572	      3978731
     0.135	 0.00005524	      3983378
     0.136	 0.00005444	      3981574
     0.137	 0.00005449	      3977054
     0.138	 0.00005450	      3977955
     0.139	 0.00005203	      3981540
     0.140	 0.00005243	      3984483
     0.141	 0.00005110	      3975071
     0.142	 0.00004967	      3978154
     0.143	 0.00004914	      3978332
     0.144	 0.00004927	      3978400
     0.145	 0.00004860	      3977016
     0.146	 0.00004720	      3977090
     0.147	 0.00004737	      3980485
     0.148	 0.00004714	      3980322
     0.149	 0.00004688	      3977205
     0.150	 0.00004517	      3977753
     0.151	 0.00004474	      3977462
     0.152	 0.00004350	      3974446
     0.153	 0.00004156	      3974243
     0.154	 0.00004164	      3974454
     0.155	 0.00004073	      3976878
     0.156	 0.00004099	      3975863
     0.157	 0.00003927	      3979250
     0.158	 0.00003918	      3978028
     0.159	 0.00003841	      3975851
     0.160	 0.00003777	      3978582
     0.161	 0.00003620	      3976528
     0.162	 0.00003504	      3974706
     0.163	 0.00003521	      3974638
     0.164	 0.00003351	      3974948
     0.165	 0.00003511	      3973986
     0.166	 0.00003384	      3974531
     0.167	 0.00003349	      3973416
     0.168	 0.00003231	      3975005
     0.169	 0.00003216	      3973462
     0.170	 0.00003182	      3977643
     0.171	 0.00003143	      3973639
     0.172	 0.00003076	      3971919
     0.173	 0.00003142	      3975646
     0.174	 0.00003134	      3977400
     0.175	 0.00003027	      3974443
     0.176	 0.00002983	      3975986
     0.177	 0.00002907	      3974418
     0.178	 0.00002867	      3972592
     0.179	 0.00002748	      3975451
     0.180	 0.00002822	      3976766
     0.181	 0.00002754	      3970892
     0.182	 0.00002707	      3972732
     0.183	 0.00002677	      3977785
     0.184	 0.00002605	      3977259
     0.185	 0.00002585	      3974634
     0.186	 0.00002614	      3977207
     0.187	 0.00002587	      3977601
     0.188	 0.00002462	      3977398
     0.189	 0.00002459	      3975173
     0.190	 0.00002351	      3975686
     0.191	 0.00002276	      3975629
     0.192	 0.00002227	      3972492
     0.193	 0.00002262	      3969914
     0.194	 0.00002285	      3972422
     0.195	 0.00002144	      3970854
     0.196	 0.00002113	      3973597
     0.197	 0.00002238	      3971522
     0.198	 0.00002173	      3970692
     0.199	 0.00002130	      3971569
     0.200	 0.00002164	      3975740
     0.201	 0.00002131	      3971265
     0.202	 0.00001944	      3971654
     0.203	 0.00001995	      3973984
     0.204	 0.00002037	      3973411
     0.205	 0.00001838	      3976581
     0.206	 0.00001842	      3974227
     0.207	 0.00001775	      3972580
     0.208	 0.00001753	      3974302
     0.209	 0.00001844	      3972415
     0.210	 0.00001762	      3977509
     0.211	 0.00001811	      3976349
     0.212	 0.00001634	      3974044
     0.213	 0.00001753	      3973637
     0.214	 0.00001804	      3968013
     0.215	 0.00001744	      3973721
     0.216	 0.00001813	      3969425
     0.217	 0.00001657	      3974630
     0.218	 0.00001661	      3974244
     0.219	 0.00001551	      3972702
     0.220	 0.00001588	      3971094
     0.221	 0.00001541	      3972387
     0.222	 0.00001432	      3970288
     0.223	 0.00001424	      3972228
     0.224	 0.00001377	      3972168
     0.225	 0.00001396	      3973021
     0.226	 0.00001447	      3969988
     0.227	 0.00001404	      3968241
     0.228	 0.00001302	      3970784
     0.229	 0.00001338	      3972966
     0.230	 0.00001298	      3970353
     0.231	 0.00001289	      3967913
     0.232	 0.00001266	      3969500
     0.233	 0.00001223	      3973169
     0.234	 0.00001150	      3968667
     0.235	 0.00001215	      3972015
     0.236	 0.00001170	      3971032
     0.237	 0.00001171	      3967224
     0.238	 0.00001178	      3973590
     0.239	 0.00001125	      3970610
     0.240	 0.00001149	      3970575
     0.241	 0.00001070	      3970816
     0.242	 0.00001075	      3975913
