#   d (cM)	weighted LD	    bin count
     0.001	 0.00158499	      4406012
     0.002	 0.00126482	      4337633
     0.003	 0.00105172	      4290145
     0.004	 0.00090068	      4257548
     0.005	 0.00078691	      4229709
     0.006	 0.00070543	      4199685
     0.007	 0.00064902	      4184278
     0.008	 0.00060298	      4167793
     0.009	 0.00056631	      4163000
     0.010	 0.00052591	      4154086
     0.011	 0.00049560	      4136218
     0.012	 0.00047244	      4126743
     0.013	 0.00045273	      4117298
     0.014	 0.00043376	      4113769
     0.015	 0.00041674	      4107382
     0.016	 0.00040290	      4103669
     0.017	 0.00038650	      4094689
     0.018	 0.00037501	      4089308
     0.019	 0.00036023	      4086016
     0.020	 0.00034961	      4080836
     0.021	 0.00034079	      4081469
     0.022	 0.00033707	      4078935
     0.023	 0.00032632	      4073616
     0.024	 0.00032057	      4072440
     0.025	 0.00031039	      4066863
     0.026	 0.00030866	      4065494
     0.027	 0.00029857	      4059614
     0.028	 0.00029489	      4065426
     0.029	 0.00028640	      4056758
     0.030	 0.00027922	      4054708
     0.031	 0.00027282	      4054249
     0.032	 0.00027045	      4051250
     0.033	 0.00026342	      4053911
     0.034	 0.00025851	      4050750
     0.035	 0.00025698	      4049768
     0.036	 0.00024901	      4046598
     0.037	 0.00024379	      4049988
     0.038	 0.00024117	      4045524
     0.039	 0.00023300	      4043853
     0.040	 0.00022992	      4046264
     0.041	 0.00022598	      4041089
     0.042	 0.00022205	      4039655
     0.043	 0.00021585	      4039951
     0.044	 0.00021432	      4038866
     0.045	 0.00020993	      4041524
     0.046	 0.00020757	      4035811
     0.047	 0.00020606	      4036341
     0.048	 0.00020192	      4032945
     0.049	 0.00019578	      4031231
     0.050	 0.00019555	      4030643
     0.051	 0.00018914	      4030353
     0.052	 0.00018560	      4031705
     0.053	 0.00018444	      4026658
     0.054	 0.00018284	      4027961
     0.055	 0.00017945	      4026764
     0.056	 0.00017555	      4027258
     0.057	 0.00017235	      4026464
     0.058	 0.00017006	      4027965
     0.059	 0.00016700	      4023523
     0.060	 0.00016336	      4025350
     0.061	 0.00015738	      4022538
     0.062	 0.00015690	      4024905
     0.063	 0.00015576	      4024490
     0.064	 0.00015329	      4024143
     0.065	 0.00014849	      4021334
     0.066	 0.00015141	      4023076
     0.067	 0.00014246	      4018652
     0.068	 0.00014369	      4018009
     0.069	 0.00014100	      4018313
     0.070	 0.00013865	      4021711
     0.071	 0.00013670	      4017148
     0.072	 0.00013598	      4017579
     0.073	 0.00013308	      4022314
     0.074	 0.00013183	      4021255
     0.075	 0.00013001	      4018259
     0.076	 0.00012738	      4018897
     0.077	 0.00012678	      4016361
     0.078	 0.00012318	      4016300
     0.079	 0.00012149	      4015111
     0.080	 0.00011917	      4017637
     0.081	 0.00011859	      4015039
     0.082	 0.00011849	      4015680
     0.083	 0.00011526	      4019851
     0.084	 0.00011459	      4011360
     0.085	 0.00011342	      4012905
     0.086	 0.00011161	      4012765
     0.087	 0.00011057	      4016241
     0.088	 0.00011014	      4012199
     0.089	 0.00010548	      4014447
     0.090	 0.00010310	      4013556
     0.091	 0.00010536	      4013261
     0.092	 0.00010243	      4014045
     0.093	 0.00010076	      4011689
     0.094	 0.00009953	      4009882
     0.095	 0.00009788	      4012315
     0.096	 0.00009617	      4009426
     0.097	 0.00009551	      4012195
     0.098	 0.00009186	      4014773
     0.099	 0.00009191	      4009983
     0.100	 0.00009108	      4012293
     0.101	 0.00008795	      4007812
     0.102	 0.00008761	      4010148
     0.103	 0.00008495	      4010765
     0.104	 0.00008378	      4012067
     0.105	 0.00008241	      4007835
     0.106	 0.00008165	      4012922
     0.107	 0.00007999	      4007029
     0.108	 0.00008161	      4005322
     0.109	 0.00007853	      4007796
     0.110	 0.00007922	      4008471
     0.111	 0.00007735	      4010484
     0.112	 0.00007624	      4006111
     0.113	 0.00007439	      4011066
     0.114	 0.00007412	      4006901
     0.115	 0.00007486	      4006673
     0.116	 0.00007241	      4008047
     0.117	 0.00007289	      4011576
     0.118	 0.00007054	      4005367
     0.119	 0.00006935	      4011881
     0.120	 0.00006913	      4006716
     0.121	 0.00006800	      4005617
     0.122	 0.00006636	      4003717
     0.123	 0.00006507	      4008249
     0.124	 0.00006327	      4007640
     0.125	 0.00006358	      4006833
     0.126	 0.00006245	      4007645
     0.127	 0.00006283	      4005393
     0.128	 0.00006250	      4007781
     0.129	 0.00006103	      4006422
     0.130	 0.00006156	      4005255
     0.131	 0.00005855	      4005835
     0.132	 0.00005787	      4007419
     0.133	 0.00005652	      4005295
     0.134	 0.00005609	      4005137
     0.135	 0.00005640	      4006566
     0.136	 0.00005470	      4006059
     0.137	 0.00005224	      4005320
     0.138	 0.00005263	      4002014
     0.139	 0.00005004	      4005792
     0.140	 0.00005077	      4004056
     0.141	 0.00005008	      4005387
     0.142	 0.00004961	      4005814
     0.143	 0.00004774	      4002144
     0.144	 0.00004690	      4004888
     0.145	 0.00004637	      4003743
     0.146	 0.00004542	      4001748
     0.147	 0.00004433	      4001414
     0.148	 0.00004361	      4004035
     0.149	 0.00004428	      4002633
     0.150	 0.00004324	      4004295
     0.151	 0.00004258	      4005092
     0.152	 0.00004302	      4000126
     0.153	 0.00004304	      4003442
     0.154	 0.00004185	      4002001
     0.155	 0.00004128	      4001063
     0.156	 0.00003963	      3999719
     0.157	 0.00004030	      4001997
     0.158	 0.00003987	      4004532
     0.159	 0.00003911	      4005703
     0.160	 0.00003805	      3997010
     0.161	 0.00003954	      4005609
     0.162	 0.00003802	      3997662
     0.163	 0.00003759	      4000167
     0.164	 0.00003671	      3998872
     0.165	 0.00003663	      3998247
     0.166	 0.00003594	      4002894
     0.167	 0.00003548	      4000371
     0.168	 0.00003628	      3999011
