"time" "PopSize"
"1" 0 36822.2406333
"2" 167.2224 11856.032201
"3" 338.7888 10732.607809
"4" 514.9304 13292.3044204
"5" 695.8992 14356.4711794
"6" 881.968 14278.8808213
"7" 1073.424 13980.6856827
"8" 1270.6 13547.3360857
"9" 1473.848 13030.7591069
"10" 1683.544 12500.5468989
"11" 1900.12 12639.1491325
"12" 2124.04 12863.5148911
"13" 2355.816 13476.0446461
"14" 2596.016 13476.0446461
"15" 2845.288 15151.6299366
"16" 3104.344 15151.6299366
"17" 3373.968 17828.0131571
"18" 3655.072 17828.0131571
"19" 3948.672 20871.4890242
"20" 4255.936 20871.4890242
"21" 4578.192 24560.2185859
"22" 4916.976 24560.2185859
"23" 5274.088 28248.3880764
"24" 5651.616 28248.3880764
"25" 6052.04 31695.7210777
"26" 6478.312 31695.7210777
"27" 6934 33906.0632518
"28" 7423.48 33906.0632518
"29" 7952.16 34981.5472338
"30" 8526.88 34981.5472338
"31" 9156.4 35069.569258
"32" 9852.24 35069.569258
"33" 10630.24 33498.0319906
"34" 11512.16 33498.0319906
"35" 12530.32 28924.5142489
"36" 13734.56 28924.5142489
"37" 15208.4 22568.52368
"38" 17108.56 22568.52368
"39" 19786.64 205844.967862
"40" 24364.8 205844.967862
