Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	1.0	0.23560615047865524	0.0
chr1	8298.0	0.22416685890552113	0.0018601365951980142
chr1	8778.0	0.26413878416361075	0.0019869232115965474
chr1	9634.0	0.047969060980896594	0.002027984727796195
chr1	26266.0	0.08061709361470254	0.0033688082287959276
chr1	27747.0	0.07950368237591542	0.0034865531823946583
chr1	36114.0	0.07509868226364953	0.004114903856894614
chr1	36452.0	0.07467299084136474	0.004140143327798995
chr1	40728.0	0.06966673393290611	0.004438038282096102
chr1	41086.0	0.08536408743376843	0.004468598625397391
chr1	49547.0	0.08140990157172669	0.00515740780259577
chr1	49848.0	0.10896627741868449	0.005190206652098794
chr1	50973.0	0.15737062773268917	0.00536724860829807
chr1	70604.0	0.16298078005706576	0.008566724301598327
chr1	73663.0	0.16475518675917544	0.009070710417894645
chr1	80622.0	0.12779547481001374	0.00996003912709753
chr1	80637.0	4.744202113471374	0.010031202158799601
chr1	86611.0	0.09251150003342194	0.010583865859999264
chr1	89510.0	0.10455895577724464	0.010886982272797496
chr1	93111.0	0.6513695577333668	0.01323256405019535
chr1	106094.0	0.05840994553671103	0.01399090037309847
chr1	108347.0	0.057900927341158384	0.0141213511623981
chr1	111261.0	0.05906168894973891	0.014293456923997638
chr1	112344.0	0.07762868467340779	0.014377528789498939
chr1	112486.0	0.025921649277764525	0.014381209663696382
chr1	112933.0	0.07123334318128866	0.014413050968098418
chr1	114262.0	0.06128405711003028	0.014494497479997648
chr1	115895.0	0.06653322982244743	0.014603146244297704
chr1	118376.0	0.05978494772248961	0.014751472699597201
chr1	119507.0	0.154111971440543	0.014925773339296455
chr1	124740.0	0.03174074739153457	0.015091872670396356
chr1	124878.0	0.0044903116072435405	0.015092492333398155
chr1	133698.0	0.03632927731263013	0.015412916559295553
chr1	133760.0	0.008748385528545646	0.015413458959198323
chr1	134523.0	0.03272680511096133	0.015438429511497986
chr1	137168.0	0.02813977845026708	0.015512859225498943
chr1	138326.0	0.031248599308219088	0.01554904510349786
chr1	140014.0	0.03156194283283457	0.015602321662999685
chr1	140808.0	0.030805680473927524	0.015626781373295984
chr1	143849.0	0.04277015093757831	0.01575684540229716
chr1	144479.0	0.05527985221886317	0.015791671709195043
chr1	145121.0	4.265786877732244	0.018530306884699144
chr1	145827.0	3.264643078044535	0.020835144897798585
chr1	147306.0	1.7167531166993868	0.02337422275739698
chr1	147521.0	0.020609880000049173	0.02337865388159699
chr1	149077.0	1.617492980270032	0.02589547295889716
chr1	149356.0	1.4967703247276163	0.026313071879496164
chr1	151267.0	2.9426823979064753	0.03193653794189544
chr1	151360.0	0.015052672055052455	0.03193793784039656
chr1	151723.0	0.17144529201032405	0.032000172481396305
chr1	154091.0	0.12803834315911825	0.0323033672779971
chr1	154518.0	0.12399534519729849	0.032356313290396344
chr1	156908.0	0.06911843970809517	0.03252150636129869
chr1	157552.0	0.05777517577673727	0.03255871357449891
chr1	161792.0	0.056246996886526	0.03279720084129778
chr1	165284.0	0.10972154753657407	0.0331803484852955
chr1	172488.0	0.13330386564423444	0.03414066953339656
chr1	175913.0	0.5377279130227369	0.035982387635499435
chr1	180927.0	0.6371132308732474	0.0391768733750979
chr1	197005.0	0.14448529612515745	0.04149990796619818
chr1	197487.0	0.12613543194713922	0.0415607052443967
chr1	201030.0	0.03116872554415289	0.041671136038999634
chr1	201679.0	0.027007196139793216	0.04168866370929436
chr1	205742.0	0.027687516786839915	0.04180115808999929
chr1	207495.0	0.02644329862968709	0.04184751319249713
chr1	207607.0	0.011761608036715237	0.041848830492597244
chr1	211773.0	0.0250459967107536	0.041953172114894244
chr1	211839.0	0.011176924274991507	0.04195390979189639
chr1	212551.0	0.025476470226820584	0.04197204903869789
chr1	217646.0	0.026009685240777753	0.04210456838499965
chr1	222616.0	0.02591343545163287	0.04223335815919427
chr1	222774.0	0.024368789270585948	0.04223720842789902
chr1	223918.0	0.019918882341520637	0.04225999562929772
chr1	224347.0	0.034100306296899134	0.04227462466069909
chr1	227198.0	0.030627585302405978	0.04236194390639625
chr1	227304.0	0.012683601892042201	0.042363288368196805
chr1	229160.0	0.03164959515156928	0.04242203001679812
chr1	232050.0	0.02464499121042827	0.042493254041396256
chr1	237375.0	0.028348097633975135	0.04264420766129717
chr1	237474.0	0.013193272754869204	0.042645513795299905
chr1	242284.0	0.028382539188856117	0.0427820338087983
chr1	243188.0	0.026833939711358334	0.04280629169029737
chr1	243659.0	0.02796824458652684	0.042819464733497625
chr1	247423.0	0.027134729330395617	0.042921599854697234
chr1	253919.0	0.02696099556636231	0.043096738481896324
chr1	254355.0	0.028389639450704638	0.04310911636469683
chr1	257490.0	0.026363674259095134	0.043191766483499094
chr1	257843.0	0.031223996311385727	0.043202788554197014
chr1	257950.0	0.01123984391333834	0.04320399121749574
chr1	261093.0	0.0479879928422882	0.04335481747899905
chr1	262131.0	0.0501269564516609	0.04340684925979588
chr1	263363.0	0.046718650001999984	0.04346440663659834
chr1	264033.0	0.03698249701171586	0.04348918490959619
chr1	265815.0	0.034341574410715926	0.043550381595196086
chr1	268433.0	0.03576890817488995	0.04364402459679795
chr1	269592.0	0.035554312767044745	0.04368523204529495
chr1	269922.0	0.038512179099653265	0.04369794106439784
chr1	271155.0	0.03328409529535065	0.043738980353897006
chr1	271883.0	0.03217632499879503	0.04376240471849613
chr1	272727.0	0.03661379478907997	0.04379330676129811
chr1	275265.0	0.0382856551218209	0.04389047575399729
chr1	280729.0	0.04559240830909024	0.04413959267299816
chr1	281067.0	0.054041157095636706	0.04415785858409649
chr1	281808.0	0.04584552132017428	0.04419183011539474
chr1	284867.0	0.27276026100076206	0.04502620375379607
chr1	288824.0	0.2797976569877803	0.046133363082496714
chr1	299760.0	0.3162815556328297	0.04959221817489734
chr1	300792.0	0.16076829040816284	0.049758131050598564
chr1	300985.0	0.15847522383376086	0.04978871676879848
chr1	301827.0	0.04289168123338183	0.04982483156439699
chr1	301963.0	0.014542956616736546	0.049826809406496864
chr1	302203.0	0.03205802875013338	0.049834503333396896
chr1	303109.0	0.03561366335708861	0.04986676931239842
chr1	306857.0	0.03360280776411707	0.04999271263589833
chr1	312888.0	0.03609589121154398	0.05021040695579515
chr1	313220.0	0.03571911355715864	0.05022226570149613
chr1	314329.0	0.033793085573393104	0.05025974223339702
chr1	315923.0	0.03882755727753775	0.050321633359697415
chr1	316311.0	0.038330497163456385	0.050336505592596836
chr1	318803.0	0.04209561500805436	0.05044140786519691
chr1	319504.0	0.04298507546547091	0.0504715404030982
chr1	328768.0	0.04814298133627727	0.050917536982197475
chr1	329966.0	0.07779534507519774	0.05101073580559756
chr1	331233.0	0.07387323764651348	0.051104333197695695
chr1	334147.0	0.07689207035017669	0.05132839669069611
chr1	336239.0	0.09334150454137673	0.05152366711819667
chr1	337199.0	0.09554540302270098	0.05161539070509846
chr1	339309.0	0.09681206620741512	0.05181966416479611
chr1	339573.0	0.1546329882591358	0.05186048727369652
chr1	344273.0	0.0763074694684795	0.052219132380198374
chr1	346479.0	0.07316282384481804	0.05238052956960004
chr1	350491.0	0.07061591901719913	0.052663840636697046
chr1	350645.0	0.02475168246985947	0.052667652395797404
chr1	354008.0	0.07632105938112471	0.052924320118496126
chr1	354213.0	0.02510640244644847	0.05292946693099765
chr1	356985.0	0.05579542016544746	0.05308413183569627
