chrom	Start_cM	End_cM	length_bp	length_cM
1	chr1	2.04909383548144	2.10201393176779	53156	0.0529200962863485
2	chr1	2.77690184761151	2.79207157974924	1149	0.0151697321377289
3	chr1	3.55750898865205	3.55995644058684	1734	0.00244745193478968
4	chr1	3.65113395150276	3.72268408270578	8276	0.0715501312030211
5	chr1	4.33613738275851	4.41960275240819	47136	0.0834653696496845
6	chr1	9.43845503824356	9.45199429057094	971	0.013539252327373
7	chr1	11.0822554608192	11.1158352205732	761	0.0335797597539589
8	chr1	11.2000366580383	11.3392014144865	34576	0.139164756448226
9	chr1	16.8998538182155	16.9075235713964	4487	0.00766975318087404
10	chr1	17.4555007809373	17.6094854035897	41521	0.153984622652427
11	chr1	20.4114665954493	20.5786514539216	32358	0.167184858472368
12	chr1	20.8752405561532	20.981946204037	7082	0.106705647883739
13	chr1	25.8507234926992	25.8739684994381	18756	0.0232450067388541
14	chr1	26.3226717030645	26.3414051179532	3981	0.0187334148887608
15	chr1	26.5727494206755	26.6022369718752	33423	0.0294875511997752
16	chr1	26.6294989486557	26.718715333018	71813	0.0892163843622953
17	chr1	27.0986517701468	27.1079956793417	640	0.00934390919492856
18	chr1	27.3255935916056	27.3364460853789	24340	0.0108524937733598
19	chr1	28.3403981368684	28.4658743859908	54719	0.1254762491224
20	chr1	29.9393793003335	29.9846212976417	343651	0.0452419973081462
21	chr1	33.5264398980967	33.533288662669	1641	0.00684876457232519
22	chr1	42.2322824741921	42.2775435412971	41607	0.0452610671050024
23	chr1	42.7886644820235	42.8150157945268	1377	0.0263513125032446
24	chr1	42.8878731275839	42.9461935242887	88367	0.0583203967047581
25	chr1	43.1296032923381	43.1506254625763	8184	0.0210221702382825
26	chr1	43.818132953975	43.83062711022	197	0.0124941562449905
27	chr1	44.2147996184714	44.3101788559817	2364	0.0953792375103149
28	chr1	44.3356034599866	44.4243321053741	41587	0.0887286453874978
29	chr1	46.7189896657308	46.7356275828391	2624	0.0166379171083548
